A,Team,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Kyrie Irving,DAL,50,1804,0.473,1234,240,231,66,23,6,111,101
RJ Barrett,TOR,58,1869,0.468,1223,366,314,46,17,5,165,137
Deni Avdija,POR,72,2161,0.476,1219,522,281,71,35,4,196,171
Christian Braun,DEN,79,2675,0.58,1218,410,205,85,37,12,81,170
Paolo Banchero,ORL,46,1582,0.452,1191,345,219,36,28,9,136,97
Stephon Castle,SAS,81,2162,0.428,1190,297,332,74,22,3,177,164
LaMelo Ball,CHO,47,1505,0.405,1184,232,346,54,13,0,167,157
CJ McCollum,NOP,56,1832,0.444,1183,212,227,46,24,2,106,124
Ja Morant,MEM,50,1519,0.454,1159,205,364,61,12,8,185,113
Collin Sexton,UTA,63,1758,0.48,1159,171,264,47,6,1,160,144
Bennedict Mathurin,IND,72,2149,0.458,1156,383,136,47,24,12,135,162
Payton Pritchard,BOS,80,2271,0.472,1144,307,279,70,14,14,83,118
Naz Reid,MIN,80,2200,0.462,1138,480,181,58,72,10,108,189
Keyonte George,UTA,67,2109,0.391,1125,253,377,46,9,1,183,111
Trey Murphy III,NOP,53,1854,0.454,1124,268,188,56,39,2,103,112
Myles Turner,IND,72,2174,0.481,1120,471,111,54,144,12,123,183
Malik Monk,SAC,65,2054,0.439,1117,245,362,61,38,7,159,158
Victor Wembanyama,SAS,46,1527,0.476,1116,506,168,52,176,3,149,105
Jarrett Allen,CLE,82,2296,0.706,1103,798,158,77,73,15,97,127
Quentin Grimes,2TM,75,2013,0.467,1092,324,228,74,22,0,141,138
Quentin Grimes,DAL,47,1070,0.463,480,179,101,32,10,6,61,78
Quentin Grimes,PHI,28,943,0.469,612,145,127,42,12,3,80,60
De'Andre Hunter,2TM,64,1740,0.47,1088,258,92,50,13,0,82,155
De'Andre Hunter,ATL,37,1064,0.461,702,145,57,31,5,8,59,88
De'Andre Hunter,CLE,27,676,0.485,386,113,35,19,8,15,23,67
Andrew Wiggins,2TM,60,1842,0.448,1078,269,158,60,50,0,99,101
Andrew Wiggins,GSW,43,1296,0.444,755,197,102,40,33,9,56,70
Andrew Wiggins,MIA,17,546,0.458,323,72,56,20,17,6,43,31
Dyson Daniels,ATL,76,2571,0.493,1073,449,333,229,55,8,155,175
Cameron Johnson,BRK,57,1800,0.475,1070,247,194,53,25,0,99,104
Dillon Brooks,HOU,75,2388,0.429,1053,275,128,60,16,14,76,242
Josh Hart,NYK,77,2897,0.525,1051,737,453,119,27,13,158,201
Brook Lopez,MIL,80,2546,0.509,1041,401,143,50,148,11,84,171
Devin Vassell,SAS,64,1983,0.443,1041,255,183,84,33,3,88,108
Josh Giddey,CHI,70,2117,0.465,1022,566,503,84,45,7,202,122
Harrison Barnes,SAS,82,2230,0.508,1011,310,136,39,14,3,50,75
Klay Thompson,DAL,72,1965,0.412,1005,246,145,50,30,6,88,81
Tobias Harris,DET,73,2305,0.477,1002,432,162,74,57,10,85,138
Jaden McDaniels,MIN,82,2614,0.477,1000,470,163,110,74,10,95,225
Russell Westbrook,DEN,75,2092,0.449,994,370,457,106,37,12,242,188
Onyeka Okongwu,ATL,74,2064,0.567,988,660,168,69,68,8,90,193
Dennis Schröder,3TM,75,2105,0.406,980,198,404,66,12,0,142,180
Dennis Schröder,BRK,23,772,0.452,424,68,152,26,4,0,59,56
Dennis Schröder,GSW,24,628,0.375,254,56,105,25,3,9,48,67
Dennis Schröder,DET,28,705,0.378,302,74,147,15,5,10,35,57
Keldon Johnson,SAS,77,1838,0.482,979,371,125,49,22,3,77,115
Amen Thompson,HOU,69,2225,0.557,970,564,265,97,89,14,138,167
Jimmy Butler,2TM,55,1746,0.504,964,296,298,77,18,0,74,52
Jimmy Butler,MIA,25,766,0.54,426,131,120,27,10,6,30,23
Jimmy Butler,GSW,30,980,0.476,538,165,178,50,8,9,44,29
Kyle Kuzma,2TM,65,1936,0.436,964,370,152,36,19,0,146,119
Kyle Kuzma,WAS,32,887,0.42,486,185,79,20,7,1,73,52
Kyle Kuzma,MIL,33,1049,0.455,478,185,73,16,12,11,73,67
Keegan Murray,SAC,76,2610,0.444,942,507,109,61,69,7,60,186
Zaccharie Risacher,ATL,75,1843,0.458,942,268,92,52,37,8,92,149
Jalen Duren,DET,78,2034,0.692,918,807,209,54,89,10,136,251
Naji Marshall,DAL,69,1919,0.508,914,328,208,70,11,6,112,109
Aaron Wiggins,OKC,76,1744,0.488,914,295,134,60,18,15,69,101
Buddy Hield,GSW,82,1863,0.417,912,264,134,69,23,9,91,132
Kelly Oubre Jr.,PHI,60,2078,0.47,906,368,108,92,30,3,80,180
Bradley Beal,PHO,53,1702,0.497,902,177,195,58,28,0,99,136
Lauri Markkanen,UTA,47,1476,0.423,892,278,70,33,17,1,66,79
Toumani Camara,POR,78,2548,0.458,882,450,175,116,50,4,109,230
Ty Jerome,CLE,70,1392,0.516,878,173,237,78,3,15,92,102
Spencer Dinwiddie,DAL,79,2136,0.416,872,209,349,70,17,6,102,121
Alex Sarr,WAS,67,1814,0.394,869,435,161,44,101,1,114,146
Rudy Gobert,MIN,72,2388,0.669,866,785,127,56,104,10,89,182
Tim Hardaway Jr.,DET,77,2153,0.406,844,183,123,38,7,10,48,96
Fred VanVleet,HOU,60,2111,0.378,844,221,333,94,25,14,87,140
Jonas Valančiūnas,2TM,81,1524,0.55,843,627,164,37,46,0,120,181
Jonas Valančiūnas,WAS,49,983,0.547,564,404,108,22,28,1,88,97
Jonas Valančiūnas,SAC,32,541,0.556,279,223,56,15,18,7,32,84
Keon Johnson,BRK,79,1925,0.389,839,297,175,82,30,0,116,209
Scoot Henderson,POR,66,1759,0.419,837,198,335,68,13,4,177,181
P.J. Washington,DAL,57,1835,0.453,836,442,131,63,60,6,118,131
Obi Toppin,IND,79,1545,0.529,833,318,128,46,28,12,68,108
Tyus Jones,PHO,81,2174,0.448,829,196,429,69,8,0,91,63
Jakob Poeltl,TOR,57,1686,0.627,824,547,158,66,71,5,111,176
Gary Trent Jr.,MIL,74,1893,0.431,824,168,87,72,4,11,42,124
Jaylen Wells,MEM,79,2043,0.425,823,268,135,44,8,8,69,146
Kristaps Porziņģis,BOS,42,1210,0.483,818,284,87,31,63,14,53,116
Duncan Robinson,MIA,74,1785,0.437,817,167,176,40,6,6,86,135
Julian Champagnie,SAS,82,1932,0.415,815,318,111,61,35,3,74,114
Santi Aldama,MEM,65,1660,0.483,811,416,188,52,29,8,71,76
Bub Carrington,WAS,82,2458,0.401,807,341,364,54,21,1,141,190
Kawhi Leonard,LAC,37,1180,0.498,796,219,116,59,17,11,72,56
Georges Niang,2TM,79,1697,0.461,784,272,111,28,14,0,82,201
Georges Niang,CLE,51,1053,0.477,445,189,67,17,7,15,48,129
Georges Niang,ATL,28,644,0.441,339,83,44,11,7,8,34,72
Derrick Jones Jr.,LAC,77,1873,0.526,781,263,60,79,33,11,66,153
Scotty Pippen Jr.,MEM,79,1683,0.48,779,259,347,103,30,8,138,203
Gradey Dick,TOR,54,1587,0.41,777,193,98,48,10,5,83,120
Caris LeVert,2TM,64,1596,0.467,776,203,215,57,33,0,76,99
Caris LeVert,CLE,38,904,0.453,388,107,140,33,19,15,51,48
Caris LeVert,ATL,26,692,0.482,388,96,75,24,14,8,25,51
Rui Hachimura,LAL,59,1869,0.509,775,295,83,45,26,13,49,105
Nickeil Alexander-Walker,MIN,82,2073,0.438,773,265,223,50,34,10,99,139
Brice Sensabaugh,UTA,71,1432,0.459,772,210,110,46,8,1,107,111
Kevin Porter Jr.,2TM,75,1482,0.449,771,278,256,81,13,0,136,119
Kevin Porter Jr.,LAC,45,884,0.423,419,160,144,43,11,11,84,70
Kevin Porter Jr.,MIL,30,598,0.494,352,118,112,38,2,11,52,49
Guerschon Yabusele,PHI,70,1895,0.501,768,395,148,58,24,3,87,164
John Collins,UTA,40,1220,0.527,758,327,80,39,40,1,103,116
Isaiah Joe,OKC,74,1604,0.44,756,196,119,48,9,15,38,113
Jalen Wilson,BRK,79,2031,0.397,749,270,145,40,5,0,79,164
Max Christie,2TM,78,2127,0.427,749,258,146,64,31,0,88,115
Max Christie,LAL,46,1154,0.444,390,123,66,35,21,13,39,73
Max Christie,DAL,32,973,0.411,359,135,80,29,10,6,49,42
Aaron Gordon,DEN,51,1447,0.531,748,247,164,23,14,12,73,82
Brandin Podziemski,GSW,64,1716,0.445,747,325,220,69,13,9,75,95
Zion Williamson,NOP,30,857,0.567,737,216,159,37,27,2,90,82
Anthony Black,ORL,78,1887,0.423,736,230,240,86,48,9,139,166
D'Angelo Russell,2TM,58,1480,0.39,732,162,297,56,23,0,108,115
D'Angelo Russell,LAL,29,763,0.415,359,80,136,23,4,13,50,53
D'Angelo Russell,BRK,29,717,0.367,373,82,161,33,19,0,58,62
Bilal Coulibaly,WAS,59,1948,0.421,727,294,199,78,41,1,125,139
Nic Claxton,BRK,70,1882,0.563,724,515,157,62,100,0,87,150
Moses Moody,GSW,74,1649,0.433,724,189,96,59,31,9,54,116
Donte DiVincenzo,MIN,62,1606,0.422,723,228,225,73,17,10,99,114
Chris Paul,SAS,82,2292,0.427,723,296,605,103,22,3,129,151
T.J. McConnell,IND,79,1415,0.519,720,193,351,83,21,12,109,79
Luguentz Dort,OKC,71,2073,0.435,719,293,115,79,39,15,51,208
Jonathan Kuminga,GSW,47,1144,0.454,719,217,104,38,21,9,71,90
Dalton Knecht,LAL,78,1494,0.461,706,216,66,24,8,13,37,93
Corey Kispert,WAS,61,1602,0.451,705,181,103,26,14,1,64,98
Daniel Gafford,DAL,57,1226,0.702,701,388,80,23,102,6,66,152
Jabari Smith Jr.,HOU,57,1716,0.438,698,399,60,25,41,14,61,123
Amir Coffey,LAC,72,1748,0.471,696,161,77,40,7,11,45,120
Kyle Filipowski,UTA,72,1522,0.502,690,440,140,48,22,1,102,171
Matas Buzelis,CHI,80,1511,0.454,688,278,79,29,75,7,74,128
Tari Eason,HOU,57,1420,0.487,686,362,83,97,50,14,65,136
Jrue Holiday,BOS,62,1896,0.443,686,265,239,66,27,14,77,101
Kevin Huerter,2TM,69,1679,0.425,681,205,156,66,23,0,67,121
Kevin Huerter,SAC,43,899,0.413,338,120,74,36,16,7,37,70
Kevin Huerter,CHI,26,780,0.439,343,85,82,30,7,7,30,51
Grayson Allen,PHO,64,1544,0.448,680,194,137,54,19,0,75,95
Jalen Johnson,ATL,36,1284,0.5,680,359,181,56,36,8,106,67
Royce O'Neale,PHO,75,1837,0.423,680,349,163,67,34,0,65,151
Bobby Portis,MIL,49,1244,0.466,680,411,104,35,26,11,57,94
Terry Rozier,MIA,64,1658,0.391,679,238,167,37,14,6,78,73
Jerami Grant,POR,47,1524,0.373,677,163,101,41,46,4,65,109
Kentavious Caldwell-Pope,ORL,77,2279,0.439,673,169,136,99,34,9,62,136
Mark Williams,CHO,44,1171,0.604,671,447,109,32,54,0,71,105
Ochai Agbaji,TOR,64,1739,0.498,667,242,98,58,30,5,54,125
Keon Ellis,SAC,80,1948,0.489,666,212,120,121,63,7,71,176
Paul George,PHI,41,1334,0.43,665,219,178,75,20,3,106,101
Yves Missi,NOP,73,1956,0.547,665,601,99,37,98,2,82,145
Taurean Prince,MIL,80,2166,0.457,656,287,155,76,15,11,82,165
Andrew Nembhard,IND,65,1881,0.458,653,216,326,79,11,12,112,149
Walker Kessler,UTA,58,1740,0.663,641,707,97,36,138,1,86,130
Isaiah Hartenstein,OKC,57,1590,0.581,637,611,219,47,62,15,96,171
Ziaire Williams,BRK,63,1541,0.412,632,287,84,62,28,0,67,149
Cole Anthony,ORL,67,1234,0.424,630,204,191,45,32,9,103,151
Wendell Carter Jr.,ORL,68,1758,0.46,618,492,134,52,41,9,77,199
Jeremy Sochan,SAS,54,1364,0.535,617,352,128,45,27,3,84,131
Isaiah Collier,UTA,71,1839,0.422,615,235,446,66,16,1,208,149
Draymond Green,GSW,68,1983,0.424,613,414,383,99,70,9,174,219
Miles McBride,NYK,64,1593,0.406,611,161,187,67,17,13,41,108
Zach Edey,MEM,66,1416,0.58,610,548,65,36,85,8,88,182
Sam Hauser,BOS,71,1541,0.451,605,224,64,41,13,14,23,87
Jordan Hawkins,NOP,56,1321,0.372,604,158,66,30,23,2,58,51
Jordan Clarkson,UTA,37,962,0.408,600,118,138,31,9,1,86,52
Cam Thomas,BRK,25,781,0.438,599,83,94,15,2,0,62,44
Kel'el Ware,MIA,64,1422,0.554,595,473,60,39,71,6,57,111
Ausar Thompson,DET,59,1328,0.535,594,303,134,98,40,10,80,164
Nick Smith Jr.,CHO,60,1369,0.391,591,128,145,17,6,0,82,79
Kyshawn George,WAS,68,1802,0.372,590,285,169,68,50,1,97,201
Julian Strawther,DEN,65,1384,0.432,588,142,83,39,16,12,57,151
Davion Mitchell,2TM,74,2027,0.468,588,167,363,72,16,0,128,185
Davion Mitchell,TOR,44,1080,0.434,279,85,203,31,8,5,78,116
Davion Mitchell,MIA,30,947,0.504,309,82,160,41,8,6,50,69
Bogdan Bogdanović,2TM,54,1348,0.427,583,159,146,41,11,0,74,127
Bogdan Bogdanović,ATL,24,598,0.371,240,66,49,20,6,8,37,57
Bogdan Bogdanović,LAC,30,750,0.474,343,93,97,21,5,11,37,70
Mike Conley,MIN,71,1756,0.4,582,182,319,79,14,10,75,111
Jose Alvarado,NOP,56,1366,0.392,579,136,259,74,14,2,86,91
Deandre Ayton,POR,40,1206,0.566,576,406,64,31,39,4,69,88
Luke Kennard,MEM,65,1472,0.478,576,183,215,50,5,8,72,59
Johnny Juzang,UTA,64,1270,0.429,571,184,68,39,8,1,36,126
Jaime Jaquez Jr.,MIA,66,1368,0.461,570,290,166,61,14,6,98,81
Brandon Miller,CHO,27,924,0.403,568,131,98,29,20,0,76,74
Cason Wallace,OKC,68,1876,0.474,568,229,173,120,35,15,59,145
Jalen Suggs,ORL,35,1002,0.41,567,141,129,51,33,9,102,98
Ayo Dosunmu,CHI,46,1394,0.492,566,161,208,43,18,7,69,105
Patrick Williams,CHI,63,1576,0.397,566,237,124,48,32,7,86,88
Immanuel Quickley,TOR,33,918,0.42,564,117,191,23,4,5,58,61
Dalano Banton,POR,67,1120,0.391,559,135,160,43,34,4,86,58
Peyton Watson,DEN,68,1656,0.477,551,233,94,48,93,12,56,123
Dorian Finney-Smith,2TM,63,1818,0.448,549,247,90,58,23,0,56,136
Dorian Finney-Smith,BRK,20,579,0.459,208,91,31,18,12,0,18,54
Dorian Finney-Smith,LAL,43,1239,0.442,341,156,59,40,11,13,38,82
Justin Champagnie,WAS,62,1340,0.511,544,351,60,65,39,1,54,110
Dejounte Murray,NOP,31,1012,0.393,542,200,228,63,12,2,106,61
A.J. Green,MIL,73,1659,0.429,541,174,108,37,7,11,40,157
Aaron Nesmith,IND,45,1123,0.507,541,178,54,35,17,12,37,114
Jared Butler,2TM,60,1044,0.448,541,110,220,42,13,0,80,97
Jared Butler,WAS,32,362,0.483,220,41,82,12,5,1,29,40
Jared Butler,PHI,28,682,0.426,321,69,138,30,8,3,51,57
Al Horford,BOS,60,1659,0.423,538,369,128,36,51,14,46,81
Brandon Clarke,MEM,64,1207,0.621,534,326,66,52,36,8,41,145
Tristan Da Silva,ORL,74,1629,0.412,533,245,113,33,18,9,56,94
Jamal Shead,TOR,75,1467,0.405,533,115,316,58,10,5,117,158
Ricky Council IV,PHI,73,1250,0.382,532,214,97,32,13,3,52,67
Nick Richards,2TM,57,1256,0.591,529,466,49,14,55,0,81,141
Nick Richards,CHO,21,440,0.561,187,158,28,7,26,0,33,48
Nick Richards,PHO,36,816,0.605,342,308,21,7,29,0,48,93
Jaden Ivey,DET,30,898,0.46,528,124,119,28,11,10,89,67
Jalen Smith,CHI,64,962,0.466,524,357,65,17,44,7,37,95
Tyrese Martin,BRK,60,1315,0.406,523,219,122,34,9,0,74,77
Ron Holland,DET,81,1266,0.474,522,218,82,49,17,10,72,141
Terance Mann,2TM,67,1414,0.496,517,199,121,47,15,0,47,128
Terance Mann,LAC,37,732,0.446,223,107,59,28,11,11,25,68
Terance Mann,ATL,30,682,0.541,294,92,62,19,4,8,22,60
Ryan Dunn,PHO,74,1410,0.43,511,267,57,44,40,0,40,162
Sam Merrill,CLE,71,1401,0.406,509,157,108,53,14,15,35,124
Josh Green,CHO,68,1887,0.428,506,172,108,74,15,0,70,165
Goga Bitadze,ORL,70,1430,0.611,502,463,137,49,98,9,72,150
Chris Boucher,TOR,50,862,0.492,502,224,33,24,25,5,29,68
Cameron Payne,NYK,72,1090,0.401,500,104,203,39,16,13,52,111
Jaden Hardy,DAL,57,907,0.435,496,89,81,28,5,6,82,90
Nikola Jović,MIA,46,1156,0.456,494,180,131,38,13,6,60,82
Clint Capela,ATL,55,1176,0.559,488,469,62,34,53,8,47,106
Chet Holmgren,OKC,32,877,0.49,479,257,63,23,71,15,56,72
Haywood Highsmith,MIA,74,1818,0.458,478,252,112,68,37,6,54,164
Cam Whitmore,HOU,51,827,0.444,477,151,49,31,13,14,46,44
Kris Dunn,LAC,74,1783,0.439,474,251,210,128,27,11,74,197
Max Strus,CLE,50,1273,0.442,471,217,158,26,12,15,54,104
Jarace Walker,IND,75,1187,0.472,461,229,110,54,25,12,78,115
Gabe Vincent,LAL,72,1527,0.4,460,92,98,51,13,13,41,152
Jake LaRavia,2TM,66,1349,0.475,458,259,158,62,23,0,86,132
Jake LaRavia,MEM,47,982,0.49,343,205,133,44,20,8,69,92
Jake LaRavia,SAC,19,367,0.438,115,54,25,18,3,7,17,40
Jusuf Nurkić,2TM,51,1063,0.477,453,398,115,40,34,0,97,130
Jusuf Nurkić,PHO,25,592,0.454,215,229,47,23,16,0,57,78
Jusuf Nurkić,CHO,26,471,0.497,238,169,68,17,18,0,40,52
Joel Embiid,PHI,19,574,0.444,452,155,85,14,18,3,62,42
Trey Lyles,SAC,69,1349,0.42,451,316,82,41,23,7,39,86
Trendon Watford,BRK,44,913,0.469,450,160,115,27,12,0,83,95
Ja'Kobe Walter,TOR,52,1103,0.405,449,160,81,43,10,5,50,95
Brandon Boston Jr.,NOP,42,993,0.436,448,134,92,53,9,2,52,73
Simone Fontecchio,DET,75,1237,0.402,446,215,65,31,12,10,54,95
Justin Edwards,PHI,44,1155,0.455,445,148,69,45,16,3,49,98
Seth Curry,CHO,68,1062,0.478,444,113,60,27,7,0,32,59
Luke Kornet,BOS,73,1361,0.668,441,388,117,36,71,14,31,119
Khris Middleton,2TM,37,843,0.475,440,137,150,35,8,0,56,75
Khris Middleton,MIL,23,534,0.512,290,85,102,17,5,11,37,52
Khris Middleton,WAS,14,309,0.413,150,52,48,18,3,1,19,23
Jay Huff,MEM,64,748,0.515,439,129,38,16,56,8,34,78
Donovan Clingan,POR,67,1324,0.539,436,527,77,34,110,4,72,189
Kenrich Williams,OKC,69,1132,0.483,436,241,97,43,10,15,39,110
Isaiah Stewart,DET,72,1434,0.559,435,399,123,28,101,10,68,183
Thomas Bryant,2TM,66,963,0.508,429,251,53,28,41,0,30,76
Thomas Bryant,MIA,10,115,0.429,41,32,4,1,9,6,2,9
Thomas Bryant,IND,56,848,0.515,388,219,49,27,32,12,28,67
Noah Clowney,BRK,46,1042,0.358,420,181,40,24,21,0,46,105
Jamison Battle,TOR,59,1042,0.429,419,158,53,17,10,5,27,92
Jeremiah Robinson-Earl,NOP,66,1239,0.455,418,315,88,39,7,2,51,79
Vit Krejci,ATL,57,1153,0.497,412,156,147,36,26,8,50,105
Trayce Jackson-Davis,GSW,62,967,0.576,407,311,104,23,38,9,45,73
Zach Collins,2TM,64,977,0.507,407,288,111,29,29,0,60,132
Zach Collins,SAS,36,425,0.462,167,101,52,14,15,3,23,70
Zach Collins,CHI,28,552,0.541,240,187,59,15,14,7,37,62
Moussa Diabaté,CHO,71,1241,0.596,403,438,56,46,40,0,61,109
Brandon Ingram,NOP,18,595,0.465,400,100,93,16,11,2,69,45
Gary Payton II,GSW,62,927,0.574,400,185,83,52,17,9,39,108
Day'Ron Sharpe,BRK,50,907,0.521,397,330,91,41,42,0,63,113
Jonathan Mogbo,TOR,63,1286,0.438,389,311,146,55,34,5,70,136
Moritz Wagner,ORL,30,564,0.562,386,148,42,24,12,9,49,55
Sandro Mamukelashvili,SAS,61,681,0.502,385,187,48,22,17,3,26,60
Kelly Olynyk,2TM,44,891,0.5,384,206,128,33,19,0,76,123
Kelly Olynyk,TOR,24,383,0.5,171,89,56,16,8,5,35,59
Kelly Olynyk,NOP,20,508,0.5,213,117,72,17,11,2,41,64
Jaxson Hayes,LAL,56,1093,0.722,383,269,58,31,51,13,43,136
Alex Caruso,OKC,54,1041,0.446,382,159,137,87,30,15,37,102
Jonathan Isaac,ORL,71,1090,0.414,380,314,40,61,80,9,33,90
Precious Achiuwa,NYK,57,1170,0.502,379,317,55,47,42,13,45,81
Talen Horton-Tucker,CHI,58,724,0.457,379,100,83,21,11,7,40,59
Marcus Sasser,DET,57,811,0.463,375,69,133,37,4,10,54,72
Julian Phillips,CHI,79,1123,0.446,366,169,39,38,20,7,27,108
Cody Martin,2TM,53,1173,0.418,358,224,105,56,32,0,51,95
Cody Martin,CHO,39,967,0.433,306,176,89,43,26,0,42,72
Cody Martin,PHO,14,206,0.351,52,48,16,13,6,0,9,23
Kyle Anderson,2TM,61,1002,0.469,357,206,145,40,33,0,37,81
Kyle Anderson,GSW,36,541,0.45,189,110,81,26,20,9,20,40
Kyle Anderson,MIA,25,461,0.493,168,96,64,14,13,6,17,41
Alec Burks,MIA,49,863,0.424,356,124,55,28,7,6,29,37
Caleb Martin,2TM,45,1218,0.424,356,177,95,46,23,0,56,87
Caleb Martin,PHI,31,943,0.435,281,136,69,34,20,3,43,63
Caleb Martin,DAL,14,275,0.389,75,41,26,12,3,6,13,24
Garrison Mathews,ATL,47,830,0.397,353,87,60,26,15,8,31,81
Tidjane Salaün,CHO,60,1244,0.33,353,280,74,29,14,0,58,84
Jared McCain,PHI,23,592,0.46,352,56,60,15,0,3,37,37
Ryan Rollins,MIL,56,820,0.487,349,108,104,42,17,11,53,88
Javonte Green,2TM,68,1258,0.429,347,218,56,65,31,0,32,98
Javonte Green,NOP,50,1092,0.446,288,178,45,55,30,2,28,77
Javonte Green,CLE,18,166,0.365,59,40,11,10,1,15,4,21
Kevon Looney,GSW,76,1142,0.514,344,462,118,46,37,9,39,154
Aaron Holiday,HOU,62,792,0.437,340,78,83,19,11,14,37,64
Quinten Post,GSW,42,686,0.449,340,148,56,16,18,9,33,83
Bruce Brown,2TM,41,922,0.421,340,164,84,34,10,0,39,71
Bruce Brown,TOR,18,353,0.435,151,68,28,17,3,5,19,26
Bruce Brown,NOP,23,569,0.41,189,96,56,17,7,2,20,45
Adem Bona,PHI,58,905,0.703,337,245,27,26,69,3,61,125
Isaac Okoro,CLE,55,1053,0.464,337,130,68,32,16,15,23,104
Svi Mykhailiuk,UTA,38,760,0.391,334,90,76,19,7,1,52,43
Mason Plumlee,PHO,74,1300,0.619,333,455,134,33,47,0,59,154
Ben Sheppard,IND,63,1228,0.418,332,177,85,38,14,12,22,125
